Event,Details,Gender,Day,Date,Start Time,End Time,Duration,Venue,Lat,Lon
Football,Preliminaries (2 matches),Women,Wed,25 Jul,16:00,20:45,4:45,"Millennium Stadium, Cardiff",,
Football,Preliminaries (2 matches),Women,Wed,25 Jul,17:00,21:45,4:45,"City of Coventry Stadium, Coventry ",,
Football,Preliminaries (2 matches),Women,Wed,25 Jul,17:00,21:45,4:45,"Hampden Park, Glasgow ",,
Football,Preliminaries (1 match),Men,Thur,26 Jul,19:45,21:45,2:00,"Millennium Stadium, Cardiff ",,
Football,Preliminaries (1 match),Men,Thur,26 Jul,19:45,21:45,2:00,"City of Coventry Stadium, Coventry ",,
Football,Preliminaries (2 matches),Men,Thur,26 Jul,12:00,16:45,4:45,"Hampden Park, Glasgow ",,
Football,Preliminaries (2 matches),Men,Thur,26 Jul,14:30,19:15,4:45,"St James' Park, Newcastle ",,
Football,Preliminaries (2 matches),Men,Thur,26 Jul,17:00,21:45,4:45,"Old Trafford, Manchester ",,
Archery,Individual: ranking round,Men,Fri,27 Jul,9:00,11:00,2:00,"Lord's Cricket Ground, London ",,
Archery,Individual: ranking round,Women,Fri,27 Jul,13:00,15:00,2:00,"Lord's Cricket Ground, London ",,
Opening Ceremony,Opening Ceremony,Not Applicable,Fri,27 Jul,19:30,22:30,3:00,"Olympic Stadium, Stratford, London",,
Archery,Team: 1/8 eliminations,Men,Sat,28 Jul,9:00,12:20,3:20,"Lord's Cricket Ground, London ",,
Archery,"Team: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Sat,28 Jul,15:00,19:00,4:00,"Lord's Cricket Ground, London ",,
Badminton,"Singles, Doubles: preliminaries",Men & Women,Sat,28 Jul,8:30,11:00,2:30,"Wembley Arena, London",,
Badminton,Mixed Doubles: preliminaries,Men & Women,Sat,28 Jul,8:30,11:00,2:30,"Wembley Arena, London",,
Badminton,"Singles, Doubles: preliminaries",Men & Women,Sat,28 Jul,12:30,17:00,4:30,"Wembley Arena, London",,
Badminton,Mixed Doubles: preliminaries,Men & Women,Sat,28 Jul,12:30,17:00,4:30,"Wembley Arena, London",,
Badminton,"Singles, Doubles: preliminaries",Men & Women,Sat,28 Jul,18:30,23:00,4:30,"Wembley Arena, London",,
Badminton,Mixed Doubles: preliminaries,Men & Women,Sat,28 Jul,18:30,23:00,4:30,"Wembley Arena, London",,
Basketball,Preliminaries (2 games),Women,Sat,28 Jul,9:00,13:00,4:00,"Basketball Arena, Olympic Park, Stratford, London",,
Basketball,Preliminaries (2 games),Women,Sat,28 Jul,14:30,18:30,4:00,"Basketball Arena, Olympic Park, Stratford, London",,
Basketball,Preliminaries (2 games),Women,Sat,28 Jul,20:00,21:00,1:00,"Basketball Arena, Olympic Park, Stratford, London",,
Beach Volleyball,Preliminaries (4 matches),Men & Women,Sat,28 Jul,9:00,12:50,3:50,"Horse Guards Parade, London",,
Beach Volleyball,Preliminaries (4 matches),Men & Women,Sat,28 Jul,14:30,18:20,3:50,"Horse Guards Parade, London",,
Beach Volleyball,Preliminaries (4 matches),Men & Women,Sat,28 Jul,20:00,23:50,3:50,"Horse Guards Parade, London",,
Boxing,Bantam Weight (56kg): round of 32,Men,Sat,28 Jul,20:30,23:30,3:00,"ExCel, Docklands, London",,
Boxing,Middle Weight (75kg): round of 32,Men,Sat,28 Jul,20:30,23:30,3:00,"ExCel, Docklands, London",,
Boxing,Bantam Weight (56kg): round of 32,Men,Sat,28 Jul,13:30,16:30,3:00,"ExCel, Docklands, London",,
Boxing,Middle Weight (75kg): round of 32,Men,Sat,28 Jul,13:30,16:30,3:00,"ExCel, Docklands, London",,
Cycling - Road,"Road Race, victory ceremony",Men,Sat,28 Jul,10:00,16:15,6:15,"The Mall, London",,
Equestrian - Eventing,"Individual & Team Eventing: dressage, day 1",Men & Women,Sat,28 Jul,10:00,16:15,6:15,"Greenwich, London",,
Fencing,"Individual Foil: round of 64, round of 32, round of 16, quarter-finals",Women,Sat,28 Jul,10:30,15:30,5:00,"ExCel, Docklands, London",,
