Eventgroup,Name
Archery,Archery
Athletics,Athletics
Badminton,Badminton
Basketball,Basketball
Beach Volleyball,Beach Volleyball
Boxing,Boxing
Canoe,Canoe Slalom
Canoe,Canoe Sprint
Closing ceremony,Closing ceremony
Cycling,Cycling - BMX
Cycling,Cycling - Road
Cycling,Cycling (Mountain Bike)
Cycling,Cycling (Track)
Diving,Diving
Equestrian,Equestrian - Dressage
Equestrian,Equestrian - Eventing
Equestrian,Equestrian - Jumping
Fencing,Fencing
Football,Football
Gymnastics,Gymnastics (Artistic)
Gymnastics,Gymnastics (Rhythmic)
Gymnastics,Gymnastics (Trampoline)
Handball,Handball
Hockey,Hockey
Judo,Judo
Marathon Swimming,Marathon Swimming
Modern Pentathlon,Modern Pentathlon
Opening Ceremony,Opening Ceremony
Rowing,Rowing
Sailing,Sailing
Shooting,Shooting
Swimming,Swimming
Synchronized Swimming,Sychronised Swimming
Table Tennis,Table Tennis
Taekwondo,Taekwondo
Tennis,Tennis
Triathlon,Triathlon
Volleyball,Volleyball
Water Polo,Water Polo
Weightlifting,Weightlifting
Wrestling,Wrestling (Freestyle)
Wrestling,Wrestling (Greco-Roman)
