Event,Details,Gender,Day,Date,Start Time,End Time,Duration,Venue,Lat,Lon
Archery,Individual: 1/8 eliminations,Men,Fri,03 Aug,9:00,10:45,1:45,"Lord's Cricket Ground, London ",,
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,03 Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London ",,
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,03 Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London",,
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,03 Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London",,
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,03 Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London",,
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Fri,03 Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London",,
Archery,Individual: ranking round,Men,Fri,27 Jul,9:00,11:00,2:00,"Lord's Cricket Ground, London ",,
Archery,Team: 1/8 eliminations,Men,Sat,28 Jul,9:00,12:20,3:20,"Lord's Cricket Ground, London ",,
Archery,"Team: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Men,Sat,28 Jul,15:00,19:00,4:00,"Lord's Cricket Ground, London ",,
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Mon,30 Jul,9:00,13:00,4:00,"Lord's Cricket Ground, London ",,
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Mon,30 Jul,15:00,17:40,2:40,"Lord's Cricket Ground, London ",,
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Tue,31 Jul,9:00,13:00,4:00,"Lord's Cricket Ground, London ",,
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Tue,31 Jul,15:00,17:40,2:40,"Lord's Cricket Ground, London ",,
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Wed,01 Aug,9:00,13:00,4:00,"Lord's Cricket Ground, London ",,
Archery,Individual: 1/32 & 1/16 eliminations Individual: 1/32 & 1/16 eliminations,Men & Women,Wed,01 Aug,15:00,19:00,4:00,"Lord's Cricket Ground, London ",,
Archery,Individual: 1/8 eliminations,Women,Thur,02 Aug,9:00,10:45,1:45,"Lord's Cricket Ground, London ",,
Archery,"Individual: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Women,Thur,02 Aug,14:00,16:20,2:20,"Lord's Cricket Ground, London ",,
Archery,Individual: ranking round,Women,Fri,27 Jul,13:00,15:00,2:00,"Lord's Cricket Ground, London ",,
Archery,Team: 1/8 eliminations,Women,Sun,29 Jul,9:00,12:20,3:20,"Lord's Cricket Ground, London ",,
Archery,"Team: quarter-finals, semi-finals, bronze medal match, gold medal match, victory ceremony",Women,Sun,29 Jul,15:00,19:00,4:00,"Lord's Cricket Ground, London ",,
Athletics,20km Race Walk,Men,Sat,04 Aug,17:00,18:30,1:30,"The Mall, London",,
Athletics,"100m: classification heats, round 1",Men,Sat,04 Aug,10:00,13:45,3:45,"Olympic Stadium, Stratford, London",,
Athletics,400m: round 1,Men,Sat,04 Aug,10:00,13:45,3:45,"Olympic Stadium, Stratford, London",,
Athletics,3000m steeplechase: round 1,Women,Sat,04 Aug,10:00,13:45,3:45,"Olympic Stadium, Stratford, London",,
Athletics,Pole Vault: qualifying,Women,Sat,04 Aug,10:00,13:45,3:45,"Olympic Stadium, Stratford, London",,
Athletics,"Heptathlon: long jump, javelin",Women,Sat,04 Aug,10:00,13:45,3:45,"Olympic Stadium, Stratford, London",,
Athletics,100m: victory ceremony,Men,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
Athletics,400m: final,Men,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
Athletics,"400m Hurdles: final, victory ceremony",Men,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
Athletics,3000m Steeplechase: victory ceremony,Men,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
Athletics,Hammer: victory ceremony,Men,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
Athletics,200m: round 1,Women,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
Athletics,400m Hurdles: semi-finals,Women,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
Athletics,3000m Steeplechase: final,Women,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
Athletics,Pole Vault: final,Women,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
Athletics,"Shot Put: final, victory ceremony.",Women,Mon,06 Aug,18:50,21:40,2:50,"Olympic Stadium, Stratford, London",,
